user.ageFilterMax,user.ageFilterMin,user.genderFilter,user.interestedIn
25,20,F,F
28,18,F,F
27,18,F,F
29,18,F,F
46,28,F,F
40,27,F,F
40,25,M,M
40,20,F,F
33,23,F,F
40,23,F,F
36,18,F,F
44,27,F,F
44,27,M,M
31,21,F,F
30,18,F,F
35,18,F,F
30,22,F,F
25,18,F,F
30,21,F,F
24,19,F,F
22,18,F,F
34,18,F,F
24,21,F,F
29,18,F,F
33,18,F,F
47,26,F,F
42,18,F,F
33,18,F,F
28,20,M and F,M and F
25,19,F,F
30,18,F,F
23,18,F,F
27,19,F,F
25,18,F,F
29,23,F,F
39,28,F,F
40,20,F,F
44,18,F,F
48,20,M,M
32,23,F,F
31,21,F,F
35,20,F,F
22,18,F,F
23,18,F,F
36,18,F,F
42,32,M,M
35,18,M and F,M and F
25,18,F,F
38,18,F,F
30,26,M,M
25,21,F,F
22,18,F,F
37,21,F,F
30,18,F,F
36,18,F,F
35,20,M,M
45,28,M,M
27,21,F,F
24,18,F,F
29,18,F,F
45,22,F,F
24,19,F,F
39,29,F,F
27,21,F,F
30,18,F,F
30,22,F,F
33,18,F,F
29,23,F,F
30,23,F,F
40,18,F,F
35,18,F,F
26,21,F,F
26,18,F,F
32,24,F,F
25,21,M,M
30,18,F,F
25,18,M,M
46,21,F,F
24,19,F,F
48,18,F,F
27,20,F,F
32,23,F,F
35,18,F,F
34,25,F,F
30,23,F,F
45,18,F,F
32,18,F,F
23,18,F,F
30,21,F,F
60,30,M and F,M and F
40,21,F,F
39,20,F,F
22,18,F,F
36,18,F,F
29,18,F,F
28,18,F,F
35,29,F,F
45,25,F,F
25,21,F,F
22,18,F,F
30,19,F,F
35,18,F,F
27,18,F,F
31,21,F,F
26,18,F,F
34,25,F,F
31,23,M,M
33,21,F,F
26,18,F,F
25,18,F,F
38,29,M,M
26,22,M,M
40,30,M,M
26,19,F,F
27,21,F,F
23,19,F,F
35,18,F,F
23,18,F,F
30,18,F,F
44,18,F,F
37,21,F,F
18,18,F,F
30,18,F,F
30,20,F,F
30,18,F,F
23,18,F,F
32,18,F,F
32,22,M and F,M and F
40,27,M,M
29,18,F,F
46,18,F,F
25,20,F,F
30,18,F,F
43,31,F,F
40,23,F,F
40,18,F,F
28,22,F,F
25,21,F,F
25,18,F,F
34,30,M,M
33,18,F,F
45,18,F,F
50,18,F,F
40,25,F,F
26,18,F,F
29,22,F,F
21,18,F,F
29,23,F,F
28,20,F,F
26,18,F,F
26,20,F,F
38,18,F,F
32,18,F,F
33,18,F,F
34,18,F,F
26,21,F,F
38,21,F,F
24,18,F,F
27,20,F,F
23,18,F,F
37,27,F,F
26,22,F,F
22,18,F,F
25,20,M,M
35,20,M,M
29,18,F,F
39,23,F,F
27,18,F,F
60,18,F,F
22,18,F,F
22,18,F,F
35,26,M,M
34,18,F,F
22,18,F,F
23,18,F,F
31,24,F,F
28,18,F,F
45,18,F,F
26,19,F,F
32,22,F,F
45,25,M,M
49,25,F,F
26,22,F,F
36,25,F,F
34,27,F,F
26,18,M,M
40,18,F,F
31,21,F,F
26,21,M and F,M and F
32,18,F,F
38,18,F,F
30,18,F,F
24,19,M and F,M and F
35,18,F,F
32,24,F,F
36,23,F,F
25,18,F,F
24,18,F,F
42,31,F,F
35,28,F,F
23,19,F,F
37,25,F,F
21,18,F,F
38,20,F,F
26,20,F,F
45,20,F,F
23,18,M,M
33,22,F,F
