nrOfConversations,nrOfGhostingsAfterInitialMessage,OfOneMessageConversations,percentOfOneMessageConversations,numberOfGhostings
73,6,18,24.65753425,24
74,2,20,27.02702703,22
75,8,35,46.66666667,43
75,21,26,34.66666667,47
75,1,29,38.66666667,30
75,1,29,38.66666667,30
75,5,13,17.33333333,18
75,6,38,50.66666667,44
76,0,32,42.10526316,32
77,0,22,28.57142857,22
77,3,30,38.96103896,33
77,4,19,24.67532468,23
77,10,26,33.76623377,36
77,2,23,29.87012987,25
78,0,4,5.128205128,4
79,1,34,43.03797468,35
79,8,31,39.24050633,39
79,0,38,48.10126582,38
79,1,37,46.83544304,38
79,1,23,29.11392405,24
79,65,6,7.594936709,71
80,8,33,41.25,41
80,11,32,40,43
80,5,43,53.75,48
81,39,13,16.04938272,52
81,1,23,28.39506173,24
81,0,44,54.32098765,44
81,4,35,43.20987654,39
81,0,46,56.79012346,46
82,0,33,40.24390244,33
82,4,22,26.82926829,26
82,1,17,20.73170732,18
82,2,48,58.53658537,50
83,51,10,12.04819277,61
84,14,22,26.19047619,36
84,3,28,33.33333333,31
84,12,32,38.0952381,44
84,39,7,8.333333333,46
84,1,32,38.0952381,33
84,0,29,34.52380952,29
84,0,29,34.52380952,29
85,1,28,32.94117647,29
85,3,21,24.70588235,24
85,2,11,12.94117647,13
85,5,46,54.11764706,51
85,1,63,74.11764706,64
85,16,18,21.17647059,34
86,11,22,25.58139535,33
86,0,26,30.23255814,26
86,8,27,31.39534884,35
86,1,42,48.8372093,43
87,33,7,8.045977011,40
87,22,13,14.94252874,35
87,1,20,22.98850575,21
87,0,33,37.93103448,33
87,0,18,20.68965517,18
88,23,6,6.818181818,29
88,9,23,26.13636364,32
88,6,8,9.090909091,14
89,13,18,20.2247191,31
89,20,21,23.59550562,41
89,10,32,35.95505618,42
90,0,31,34.44444444,31
90,6,43,47.77777778,49
91,4,9,9.89010989,13
91,9,41,45.05494505,50
91,2,49,53.84615385,51
91,1,23,25.27472527,24
92,13,24,26.08695652,37
92,1,18,19.56521739,19
93,49,7,7.52688172,56
94,2,43,45.74468085,45
94,2,5,5.319148936,7
94,13,46,48.93617021,59
95,31,32,33.68421053,63
95,5,11,11.57894737,16
95,16,39,41.05263158,55
95,3,30,31.57894737,33
96,0,19,19.79166667,19
96,9,44,45.83333333,53
96,54,29,30.20833333,83
96,1,6,6.25,7
97,7,52,53.60824742,59
97,3,50,51.54639175,53
98,2,27,27.55102041,29
98,1,18,18.36734694,19
98,33,36,36.73469388,69
99,39,21,21.21212121,60
99,1,36,36.36363636,37
100,3,16,16,19
100,10,56,56,66
100,14,47,47,61
101,32,26,25.74257426,58
102,68,9,8.823529412,77
102,8,38,37.25490196,46
102,10,46,45.09803922,56
104,0,40,38.46153846,40
104,1,34,32.69230769,35
104,1,13,12.5,14
104,5,32,30.76923077,37
105,5,41,39.04761905,46
105,18,16,15.23809524,34
105,1,31,29.52380952,32
106,0,28,26.41509434,28
106,4,35,33.01886792,39
106,12,62,58.49056604,74
107,9,30,28.03738318,39
107,8,56,52.3364486,64
107,2,20,18.69158879,22
109,36,28,25.68807339,64
109,0,42,38.53211009,42
109,3,4,3.669724771,7
110,2,63,57.27272727,65
110,1,17,15.45454545,18
111,12,36,32.43243243,48
111,0,40,36.03603604,40
112,6,28,25,34
112,13,47,41.96428571,60
112,0,46,41.07142857,46
113,9,47,41.59292035,56
113,1,28,24.77876106,29
114,4,18,15.78947368,22
114,0,43,37.71929825,43
115,2,52,45.2173913,54
115,4,59,51.30434783,63
116,116,0,0,116
117,17,39,33.33333333,56
117,2,29,24.78632479,31
118,2,69,58.47457627,71
118,44,21,17.79661017,65
118,35,39,33.05084746,74
118,7,33,27.96610169,40
120,6,54,45,60
121,5,29,23.96694215,34
121,43,21,17.3553719,64
121,75,15,12.39669421,90
122,4,30,24.59016393,34
122,3,38,31.14754098,41
122,5,21,17.21311475,26
122,1,40,32.78688525,41
123,1,61,49.59349593,62
123,0,37,30.08130081,37
124,9,47,37.90322581,56
125,36,28,22.4,64
125,112,2,1.6,114
126,3,28,22.22222222,31
126,4,38,30.15873016,42
126,3,62,49.20634921,65
127,3,30,23.62204724,33
127,0,45,35.43307087,45
128,18,36,28.125,54
128,0,38,29.6875,38
128,8,58,45.3125,66
128,70,33,25.78125,103
128,2,50,39.0625,52
129,39,12,9.302325581,51
129,2,32,24.80620155,34
129,2,81,62.79069767,83
129,9,60,46.51162791,69
130,15,36,27.69230769,51
132,35,49,37.12121212,84
133,0,16,12.03007519,16
134,1,5,3.731343284,6
134,4,46,34.32835821,50
135,4,9,6.666666667,13
135,1,11,8.148148148,12
136,6,28,20.58823529,34
137,13,62,45.25547445,75
138,0,36,26.08695652,36
138,0,59,42.75362319,59
139,4,41,29.49640288,45
139,1,41,29.49640288,42
139,0,46,33.09352518,46
140,21,57,40.71428571,78
140,0,68,48.57142857,68
141,13,55,39.0070922,68
141,7,53,37.58865248,60
141,34,34,24.11347518,68
142,37,57,40.14084507,94
143,5,22,15.38461538,27
143,14,37,25.87412587,51
143,4,65,45.45454545,69
144,39,23,15.97222222,62
144,0,65,45.13888889,65
145,1,58,40,59
145,49,32,22.06896552,81
147,1,46,31.29251701,47
147,1,24,16.32653061,25
147,45,26,17.68707483,71
150,4,36,24,40
151,38,47,31.12582781,85
151,5,50,33.11258278,55
152,32,54,35.52631579,86
152,0,17,11.18421053,17
155,40,34,21.93548387,74
155,44,26,16.77419355,70
155,23,45,29.03225806,68
156,19,32,20.51282051,51
157,5,52,33.12101911,57
157,8,95,60.50955414,103
157,17,49,31.21019108,66
157,1,63,40.12738854,64
157,49,18,11.46496815,67
158,18,47,29.74683544,65
158,7,43,27.21518987,50
158,9,58,36.70886076,67
158,25,45,28.48101266,70
159,53,35,22.01257862,88
160,18,38,23.75,56
161,1,20,12.42236025,21
161,27,47,29.19254658,74
162,7,73,45.0617284,80
162,17,65,40.12345679,82
162,7,61,37.65432099,68
163,1,55,33.74233129,56
163,4,57,34.96932515,61
163,13,94,57.66871166,107
166,72,31,18.6746988,103
167,76,18,10.77844311,94
169,3,69,40.82840237,72
170,68,70,41.17647059,138
170,84,23,13.52941176,107
171,1,44,25.73099415,45
171,116,21,12.28070175,137
171,8,39,22.80701754,47
172,4,39,22.6744186,43
173,21,32,18.49710983,53
174,41,24,13.79310345,65
174,36,98,56.32183908,134
174,4,77,44.25287356,81
175,37,53,30.28571429,90
176,28,48,27.27272727,76
176,49,13,7.386363636,62
176,1,68,38.63636364,69
176,12,27,15.34090909,39
176,10,59,33.52272727,69
177,32,51,28.81355932,83
177,0,47,26.55367232,47
177,4,40,22.59887006,44
178,2,50,28.08988764,52
179,81,59,32.96089385,140
179,0,21,11.73184358,21
180,4,72,40,76
183,40,54,29.50819672,94
183,4,48,26.2295082,52
184,0,64,34.7826087,64
185,0,15,8.108108108,15
186,87,16,8.602150538,103
193,6,36,18.65284974,42
194,17,83,42.78350515,100
194,17,75,38.65979381,92
195,12,71,36.41025641,83
195,25,33,16.92307692,58
196,5,117,59.69387755,122
196,12,30,15.30612245,42
196,18,80,40.81632653,98
198,0,62,31.31313131,62
199,11,63,31.65829146,74
200,22,65,32.5,87
201,28,70,34.82587065,98
202,24,79,39.10891089,103
203,10,75,36.94581281,85
203,11,88,43.34975369,99
205,13,53,25.85365854,66
205,86,66,32.19512195,152
209,7,52,24.88038278,59
211,45,83,39.33649289,128
211,11,39,18.48341232,50
211,16,60,28.43601896,76
213,2,68,31.92488263,70
214,2,99,46.26168224,101
215,54,86,40,140
215,105,40,18.60465116,145
215,3,84,39.06976744,87
216,38,81,37.5,119
218,2,76,34.86238532,78
220,8,64,29.09090909,72
221,0,43,19.45701357,43
222,4,67,30.18018018,71
222,88,21,9.459459459,109
223,14,69,30.94170404,83
223,17,111,49.77578475,128
223,3,56,25.11210762,59
226,5,86,38.05309735,91
226,2,115,50.88495575,117
228,21,91,39.9122807,112
232,5,100,43.10344828,105
234,81,61,26.06837607,142
235,8,75,31.91489362,83
235,11,78,33.19148936,89
237,0,81,34.17721519,81
237,3,78,32.91139241,81
237,26,65,27.42616034,91
237,17,105,44.30379747,122
238,3,58,24.3697479,61
239,1,39,16.31799163,40
240,53,82,34.16666667,135
240,9,36,15,45
241,5,45,18.67219917,50
245,166,32,13.06122449,198
245,6,93,37.95918367,99
245,6,86,35.10204082,92
247,5,116,46.96356275,121
249,25,50,20.08032129,75
249,0,53,21.28514056,53
249,8,142,57.02811245,150
250,0,86,34.4,86
250,25,65,26,90
250,23,7,2.8,30
250,26,68,27.2,94
251,3,88,35.05976096,91
251,2,135,53.78486056,137
251,4,68,27.09163347,72
252,62,80,31.74603175,142
253,26,109,43.08300395,135
254,6,48,18.8976378,54
254,74,61,24.01574803,135
255,15,112,43.92156863,127
258,27,75,29.06976744,102
261,6,58,22.22222222,64
263,118,63,23.95437262,181
263,3,121,46.00760456,124
265,5,60,22.64150943,65
266,1,95,35.71428571,96
267,84,66,24.71910112,150
268,8,119,44.40298507,127
269,1,51,18.95910781,52
271,80,99,36.53136531,179
272,34,86,31.61764706,120
273,2,94,34.43223443,96
274,3,94,34.30656934,97
275,27,50,18.18181818,77
276,19,120,43.47826087,139
279,7,63,22.58064516,70
282,15,91,32.26950355,106
282,13,112,39.71631206,125
282,17,48,17.0212766,65
284,207,19,6.690140845,226
284,127,37,13.02816901,164
285,8,79,27.71929825,87
286,1,117,40.90909091,118
287,7,168,58.53658537,175
288,52,75,26.04166667,127
288,15,117,40.625,132
289,24,65,22.49134948,89
290,18,155,53.44827586,173
291,26,111,38.1443299,137
291,133,37,12.71477663,170
292,83,68,23.28767123,151
292,18,101,34.5890411,119
293,15,117,39.93174061,132
295,1,73,24.74576271,74
295,7,131,44.40677966,138
298,16,118,39.59731544,134
300,11,82,27.33333333,93
303,17,106,34.98349835,123
304,86,58,19.07894737,144
305,109,69,22.62295082,178
306,0,94,30.71895425,94
307,8,124,40.39087948,132
308,12,147,47.72727273,159
310,22,108,34.83870968,130
311,12,62,19.93569132,74
311,9,114,36.65594855,123
312,6,191,61.21794872,197
314,55,128,40.76433121,183
315,7,154,48.88888889,161
315,142,67,21.26984127,209
321,2,54,16.82242991,56
324,4,156,48.14814815,160
326,5,93,28.52760736,98
327,36,142,43.42507645,178
332,3,125,37.65060241,128
334,12,88,26.34730539,100
337,7,177,52.52225519,184
339,5,106,31.26843658,111
342,49,107,31.28654971,156
343,13,115,33.52769679,128
345,117,75,21.73913043,192
347,41,121,34.870317,162
347,70,87,25.07204611,157
350,60,113,32.28571429,173
351,41,115,32.76353276,156
355,41,107,30.14084507,148
355,12,200,56.33802817,212
357,15,83,23.24929972,98
357,39,178,49.85994398,217
358,32,60,16.75977654,92
